Product ID,Name,Price,Description,Specifications,Rating,Discount,Brand Name,Colors,Type,Dịch Description,Dịch Specifications
2,109F Women Blue Dyed Straight Maxi Skirt,1000,"Blue dyed straight maxi skirt, has an elasticated waistband, slip-on closure, straight hem, side slits. This product is very suitable for fall use","100% Viscose, Machine wash",3.6,10,20Dresses,"Yellow, Blue, Blue, Blue, Blue",Dress,"Chân váy maxi dáng thẳng màu xanh nhuộm, có cạp thun, đóng bằng cách trượt vào, gấu váy thẳng, xẻ tà hai bên. Sản phẩm này rất phù hợp để sử dụng vào mùa thu.","
100% vải viscose, giặt bằng máy."
7,20Dresses Women White Pure Cotton,1000,"Ready for summer, White self-striped woven A-line top, has shoulder straps, sleeveless, and concealed zip closure","Machine Wash.. Wash separately or with similar colours.. Do not Bleach..
Material- 100% Cotton",4.7,10,20Dresses,"Red, test",shirt (women),"
Sẵn sàng cho mùa hè, áo dáng chữ A dệt sọc trắng, có dây quai vai, không tay và khóa kéo ẩn.","Giặt bằng máy. Giặt riêng hoặc với các màu tương tự. Không dùng chất tẩy.
Chất liệu: 100% cotton."
16,Alcis Men Charcoal Grey Solid Sports Sweatshirt,1039,"Charcoal grey solid sports sweatshirt with melange effect, has a round neck, long sleeves, ribbed hem Engineered with Antimicrobial technology. The product is suitable for fall use","Wash: Machine wash
Sleeve: Full sleeves
Fabric: 100% Polyester Cationic",5,0,Alcis,"green, green",Sweatshirt,"
Áo sweatshirt thể thao màu xám đậm trơn với hiệu ứng melange, có cổ tròn, tay dài, gấu áo bo. Được thiết kế với công nghệ kháng khuẩn. Sản phẩm này phù hợp để sử dụng vào mùa thu.","Giặt: Giặt bằng máy
Tay áo: Tay dài
Chất liệu: 100% polyester cationic."
17,Alcis Men Navy Blue Solid Stand Collar T-shirt,500,"Make a name for yourself this season with this cool T-shirt from Alcis. Whether you're going for a jog or heading to gym, sport this number with solid shorts for a sporty style.","Fabric: 60% Cotton 40% Polyester
Sleeve Length: Short Sleeve
Neck: Polo Collar",5,0,Alcis,"blue, yellow",T-shirt,"Tạo dấu ấn cho riêng bạn mùa này với chiếc áo T-shirt phong cách từ Alcis. Dù bạn đi chạy bộ hay đến phòng gym, hãy kết hợp chiếc áo này với quần short trơn để có phong cách thể thao.","Chất liệu: 60% cotton, 40% polyester
Chiều dài tay: Tay ngắn
Cổ: Cổ polo."
18,Alcis Solid Brown Track Pants,649,These ALCIS men's pants is the perfect blend of style and comfort. These pants feature Soft-Touch technology for added comfort. Team It With A T-Shirt And Sports Shoes For A Complete Look,"Wash: Hand wash
Fabric: 100% Cotton
Range: Yoga",5,0,Alcis,"red, white",Pant,Quần ALCIS cho nam này là sự kết hợp hoàn hảo giữa phong cách và sự thoải mái. Những chiếc quần này được trang bị công nghệ Soft-Touch giúp tăng cường sự thoải mái. Kết hợp nó với một chiếc áo T-shirt và giày thể thao để có diện mạo hoàn chỉnh.,"Giặt: Giặt tay
Thành phần chất liệu: 100% cotton
Dòng sản phẩm: Yoga."
19,Alcis Charcoal Grey Self Design Tights,599,"Designed To Suit Your Workout Needs, This Pair Of Tights From Alcis Will Be The Perfect Pick. Team It With A T-Shirt And Sports Shoes For A Complete Look","Fabric: 90% Polyester 10% Lycra Foma
Wash: Hand wash",5,0,Alcis,Grey,Pant,"Được thiết kế để đáp ứng nhu cầu tập luyện của bạn, chiếc quần legging này từ Alcis sẽ là lựa chọn hoàn hảo. Kết hợp nó với một chiếc áo T-shirt và giày thể thao để có diện mạo hoàn chỉnh.","Thành phần chất liệu: 90% polyester, 10% lycra Foma
Giặt: Giặt tay."
20,Alcis Men Yellow Solid Polo Collar T-shirt,699,Express yourself with the ALCIS Polo that keeps you comfortable and accelerates performance. It fights sweat and body odour to keep you focused on your workout. This is the perfect choice for sports sessions,"Fabric: 60% COTTON 40% POLYESTER PIQUE
Neck: Polo
Wash Care: Machine Wash",5,0,Alcis,Yellow,T-shirt,Thể hiện bản thân với áo polo ALCIS giúp bạn luôn thoải mái và tăng cường hiệu suất. Nó chống mồ hôi và mùi cơ thể để bạn có thể tập trung vào việc tập luyện. Đây là lựa chọn hoàn hảo cho các buổi tập thể thao.,"Vải: 60% COTTON 40% POLYESTER PIQUE
Cổ: Polo
Chăm sóc giặt: Giặt máy"
21,Alcis Navy Blue Printed Detail Hooded Sweatshirt,1359,"You can't predict the weather but can prepare for it. Pull on this ALCIS sweatshirt when the weather gets moody, and go for your daily miles. This will be a very necessary product for this winter","Fabric: 70% Cotton 30% Polyester Fleece
Sleeves: Long Sleeve",5,0,Alcis,Blue,Sweatshirt,"Bạn không thể dự đoán thời tiết nhưng có thể chuẩn bị cho nó. Hãy mặc chiếc áo sweatshirt ALCIS này khi thời tiết trở nên khó lường, và thực hiện những bước chạy hàng ngày của bạn. Đây sẽ là sản phẩm rất cần thiết cho mùa đông này.","Vải: 70% Cotton 30% Lông Cừu Polyester
Tay áo: Tay áo dài"
22,Alcis Charcoal Grey Solid Sporty Jacket,1439,"Charcoal grey solid sporty jacket, has a mock collar, 2 pockets ,has a zip closure, long sleeves, straight hemline, cotton lining. Pair it with joggers for some cool ","Fabric: 100% Polyester
Sleeve Length: Long Sleeve
Knit/Woven: Knitted",5,10,Alcis,"white, green",Jacket,"Áo khoác thể thao màu xám đậm trơn, có cổ giả, 2 túi, khóa kéo, tay dài, gấu áo thẳng, có lớp lót bằng cotton. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.","Vải: 100% Polyester
Chiều dài tay áo: Tay áo dài
Đan/Dệt: Dệt kim"
23,Alcis Men Black Solid Hooded Tracksuit,2799,"Black solid tracksuit with side detail. Black solid jacket with a hood, long sleeves, zip closure and 2 pockets. Black solid track pants, has an elasticated waistband, drawstring closure, 2 pockets and straight hems","Fabric: 100% Polyester Diagonal Terry
Sleeve: Long Sleeves
Wash: Hand wash",4.7,0,Alcis,black,Sweatshirt,"Bộ đồ thể thao màu đen trơn với chi tiết bên hông. Áo khoác màu đen trơn có mũ, tay dài, khóa kéo và 2 túi. Quần jogger màu đen trơn có cạp thun, dây rút, 2 túi và gấu quần thẳng.","Vải: 100% Polyester Vải chéo
Tay áo: Tay áo dài
Giặt: Giặt tay"
24,Alcis Men Green Solid Round Neck T-shirt,599,"Express yourself with the ALCIS Tee that keeps you comfortable and accelerates performance. It fights sweat and body odour to keep you focused on your workout, very suitable for sports practice sessions","Fabric: 100% Polyester
Sleeve Length: Half Sleeve
Wash Care: Machine Wash",4.6,0,Alcis,white,T-shirt,"Thể hiện bản thân với áo T-shirt ALCIS giúp bạn luôn thoải mái và tăng cường hiệu suất. Nó chống mồ hôi và mùi cơ thể để bạn có thể tập trung vào việc tập luyện, rất phù hợp cho các buổi tập thể thao.","Vải: 100% Polyester
Chiều dài tay áo: Tay áo một nửa
Chăm sóc giặt: Giặt máy"
25,Alcis Men Blue Solid Polo Collar T-shirt,649,Let others admire your style quotient while you focus on the gruel with this awesome blue polo t-shirt from the latest range of ALCIS.  This is the right product for your fall collection,"Fabric: 50% Cotton 50% Polyester Bird Eye Pique
Neck: Polo Collar
Wash Care: Machine Wash",4.5,0,Alcis,blue,T-shirt,Hãy để mọi người ngưỡng mộ phong cách của bạn trong khi bạn tập trung vào việc luyện tập với chiếc áo polo màu xanh tuyệt đẹp từ bộ sưu tập mới nhất của ALCIS. Đây là sản phẩm hoàn hảo cho bộ sưu tập mùa thu của bạn.,"Vải: 50% Cotton 50% Polyester Mắt Chim
Cổ: Cổ áo Polo
Chăm sóc giặt: Giặt máy"
26,Alcis Men Navy Blue Solid Polo Collar T-shirt,649,Let others admire your style quotient while you focus on the gruel with this awesome polo t-shirt from the latest range of ALCIS,"Fabric: 100% Polyester
Sleeve Length: Half Sleeve
Wash Care: Machine Wash",4.7,0,Alcis,red,T-shirt,Hãy để mọi người ngưỡng mộ phong cách của bạn trong khi bạn tập trung vào việc luyện tập thể thao với chiếc áo polo tuyệt đẹp từ bộ sưu tập mới nhất của ALCIS.,"Vải: 100% Polyester
Chiều dài tay áo: Tay áo một nửa
Chăm sóc giặt: Giặt máy"
27,Alcis Men Blue Self Design Polo Collar T-shirt,599,Focus completely on training hard with the right support in this terrific navy polo t-shirt from the latest range of ALCIS. This product is very suitable for fall use,"Fabric: 100% Polyester
Sleeve Length: Half Sleeve
Wash Care: Machine Wash",4.3,0,Alcis,gray,T-shirt,Tập trung hoàn toàn vào việc rèn luyện chăm chỉ với sự hỗ trợ hoàn hảo từ chiếc áo polo màu navy tuyệt vời này từ bộ sưu tập mới nhất của ALCIS. Sản phẩm này rất phù hợp để sử dụng vào mùa thu.,"Vải: 100% Polyester
Chiều dài tay áo: Tay áo một nửa
Chăm sóc giặt: Giặt máy"
28,Alcis Maroon Solid Hooded Running Jacket,1519,"Maroon solid running jacket with Antistatix, Drytech+ and Stretch X technologies. In addition to being suitable for winter use, the product is also very suitable for sports practice","Fabric: 83% Polyester 17% Spandex Brushed Cationic
Wash: Hand wash 
Sleeve Length: Full sleeve",4.5,0,Alcis,black,Jacket,"Áo khoác chạy màu đỏ mận trơn với các công nghệ Antistatix, Drytech+ và Stretch X. Ngoài việc phù hợp để sử dụng vào mùa đông, sản phẩm này cũng rất thích hợp cho các buổi tập luyện thể thao.","Vải: 83% Polyester 17% Spandex chải Cationic
Giặt: Giặt tay 
Chiều dài tay áo: Tay áo đầy đủ"
29,Alcis Teal Blue Solid Hooded Sporty Jacket,1519,The key to cool weather is finding layers that work. Pull on this ALCIS jacket and stay comfortable through your last stride. This is the perfect choice for the cool fall,"Fabric: 100% Polyester Full Dull Yarn Foma
Sleeves: Long Sleeve
Wash Care: Machine Wash",5,0,Alcis,gray,Jacket,Chìa khóa để đối phó với thời tiết lạnh là tìm kiếm những lớp trang phục phù hợp. Hãy mặc chiếc áo khoác ALCIS này và giữ cho bạn luôn thoải mái trong từng bước chạy cuối cùng. Đây là lựa chọn hoàn hảo cho mùa thu se lạnh.,"Vải: 100% Polyester Full Sợi xỉn màu Foma
Tay áo: Tay áo dài
Chăm sóc giặt: Giặt máy"
30,Alcis Charcoal Grey Solid Sporty Jacket,1999,"Well crafted in fine poly cotton for superb sheen, and an unmatched combination of comfort and endurance, it's regular fit design and color-block pattern make it an apt fashion choice for many an occasion. Pair it with joggers for some cool style.","Fabric: 60% Cotton 40% Polyester Fleece
Wash: Machine wash",5,0,Alcis,white,Jacket,"Được chế tác tinh xảo từ chất liệu poly cotton cao cấp cho độ bóng tuyệt vời, kết hợp hoàn hảo giữa sự thoải mái và độ bền. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.","Vải: 60% Cotton 40% Lông Cừu Polyester
Giặt: Giặt máy"
31,Alcis Navy Blue Solid Sporty Jacket,1999,"Hit the roads in style by wearing this high neck slim fit sports jacket from ALCIS. Crafted using premium quality polyester fabric, it will be very soft to the skin. This product is very suitable for fall use","Fabric: 100% POLYESTER FOMA
Wash: Machine Wash
Sleeve: Full Sleeves",4.5,0,Alcis,white,Jacket,"Tỏa sáng trên đường phố với chiếc áo khoác thể thao cổ cao dáng ôm từ ALCIS. Được chế tác từ chất liệu polyester cao cấp, áo sẽ rất mềm mại với làn da. Sản phẩm này rất phù hợp để sử dụng vào mùa thu.","Vải: 100% POLYESTER FOMA
Giặt: Giặt máy
Tay áo: Tay áo đầy đủ"
32,Alcis Red & Off-White Solid Polo Collar T-shirt,499,Add this fashion-forward Alcis Gym T-shirt to your Gym wardrobe and stay cool and comfortaable during sweaty workout sessions. Pair it with joggers for some cool ,"Fabric: 100% Polyester Mockeyelet Mesh
Sleeve: Half Sleeve
Wash: Hand wash",5,0,Alcis,gray,T-shirt,Thêm chiếc áo T-shirt Alcis thời trang này vào tủ đồ tập gym của bạn để luôn cảm thấy mát mẻ và thoải mái trong những buổi tập luyện thể thao ra mồ hôi. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.,"Vải: Lưới Mockeyelet 100% Polyester
Tay áo: Nửa tay áo
Giặt: Giặt tay"
33,Alcis Men White Solid Round Neck T-shirt,899,"The ALCIS Tee, light and smooth with ease to move, is perfect for all your intense workout routines. This will be an indispensable choice in the summer","Fabric: 60% COTTON 40% POLYESTER SINGLE JERSEY
Sleeves: Short Sleeve
Wash: Hand wash",5,0,Alcis,blue,T-shirt,"Áo T-shirt ALCIS, nhẹ nhàng và mượt mà với khả năng linh hoạt, là lựa chọn hoàn hảo cho tất cả các bài tập cường độ cao của bạn. Đây sẽ là một sự lựa chọn không thể thiếu trong mùa hè của bạn.","Vải: ÁO ĐƠN 60% COTTON 40% POLYESTER
Tay áo: Tay áo ngắn
Giặt: Giặt tay"
34,Alcis Solid Sporty Jacket,1599,Add a whiff of modern fashion to your early morning jog sessions with this awesome green sports jacket from the latest collection of ALCIS. Pair it with contrast joggers to complete the ensemble. ,"Fabric: 70% Cotton 30% Polyester Fleece
Wash: Machine Wash",5,0,Alcis,"Blue, Grey",Jacket,Thêm chút phong cách hiện đại cho những buổi chạy bộ sáng sớm của bạn với chiếc áo khoác thể thao màu xanh tuyệt đẹp từ bộ sưu tập mới nhất của ALCIS. Kết hợp nó với quần jogger tương phản để hoàn thiện bộ trang phục.,"Vải: 70% Cotton 30% Lông Cừu Polyester
Giặt: Giặt máy"
35,Alcis Men Solid Round Neck Yoga T-shirt,499,"Get yourself a tough, performance oriented piece with this round neck t-shirt from ALCIS. Pair it with joggers for some cool ","Fabric: 85% Excel 15% LinenSleeve: Half Sleeve
Wash: Hand wash",5,0,Alcis,"Green, Red",T-shirt,Hãy sắm cho mình một chiếc áo T-shirt cổ tròn bền bỉ và hướng đến hiệu suất từ ALCIS. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.,"Vải: 85% Excel 15% vải lanh Tay áo: Tay áo một nửa
Giặt: Giặt tay"
36,Alcis Grey & Black Printed V-Neck T-shirt,499,Add this fashion-forward Alcis Gym T-shirt to your Gym wardrobe and stay cool and comfortaable during sweaty workout sessions.,"Fabric: 60% Cotton 40% Polyester Single Jersey
Wash: Machine Wash
Sleeve: Short Sleeve",5,0,Alcis,green,T-shirt,Thêm chiếc áo T-shirt Alcis thời trang này vào tủ đồ tập gym của bạn để luôn cảm thấy mát mẻ và thoải mái trong những buổi tập luyện thể thao ra mồ hôi.,"Vải: 60% Cotton 40% Polyester Áo đơn
Giặt: Giặt máy
Tay áo: Tay áo ngắn"
37,Alcis Grey Solid Running Jacket,1759,"Solid sporty jacket, has a mock collar, 2 pockets ,has a zip closure, long sleeves, straight hemline, polyester lining","Fabric: 70% Cotton 30% Polyester Fleece
Sleeve: Long Sleeves",4.5,0,Alcis,gray,Jacket,"Áo khoác thể thao trơn, có cổ giả, 2 túi, khóa kéo, tay dài, gấu áo thẳng và lót polyester.","Vải: 70% Cotton 30% Lông Cừu Polyester
Tay áo: Tay áo dài"
38,Alcis Grey Solid Cropped Track Pants,599,"Fashioned in premium poly cotton for a soft, smooth and lightweight feel with excellent comfort and lasting strength. Pair them with a contrast sports t-shirt to complete the ensemble.","Fabric: 100% Polyester
Wash Care: Machine Wash
Occasion: Sports",5,0,Alcis,white,Pant,"Được làm từ chất liệu cotton poly cao cấp mang lại cảm giác mềm mại, mịn màng và nhẹ nhàng với sự thoải mái tuyệt vời và độ bền lâu dài. Hãy kết hợp chúng với một chiếc áo phông thể thao tương phản để hoàn thiện bộ trang phục.","Vải: 100% Polyester
Chăm sóc giặt: Giặt máy
Nhân dịp: Thể thao"
39,Alcis Yellow & Blue Colorblocked Tights,749,"Fashioned in prime quality stretch polyester for flexibility and a soft, smooth and lightweight feel with excellent comfort and lasting strength. Pair them with a sports t-shirt to complete the ensemble.","Fabric: 90% Polyester 10% Lycra Foma
Wash: Hand wash",5,0,Alcis,yellow,Pant,"Được làm bằng polyester co giãn chất lượng cao mang lại sự linh hoạt và cảm giác mềm mại, mịn màng và nhẹ với sự thoải mái tuyệt vời và độ bền lâu dài. Hãy kết hợp chúng với áo thun thể thao để hoàn thiện bộ trang phục.","Vải: 90% Polyester 10% Lycra Foma
Giặt: Giặt tay"
40,ADIVA Girls Black Embellished Maxi Dress,749,"Black embellished knitted and woven maxi dress, has a V-neck, sleeveless, an attached lining, gathered and pleated detail, and flared hem. This outfit is suitable for important events such as award ceremonies, ...","Fabric: 80% Net, 20% Polyester
Wash: Hand-wash",5,0,ADIVA,black,Dress,"Chiếc đầm maxi màu đen đính kết, dệt kim và dệt thoi, có cổ chữ V, không tay, lớp lót liền, chi tiết xếp ly và bèo nhún, cùng gấu váy xòe. Trang phục này rất phù hợp cho những sự kiện quan trọng như lễ trao giải, v.v.","Vải: 80% Lưới, 20% Polyester
Giặt: Giặt tay"
41,ADIVA Girls Pink Maxi Dress,749,"Pink solid knitted and woven maxi dress, has a V-neck, sleeveless, an attached lining, and flared hem. This outfit is suitable for important events such as award ceremonies, ...","Fabric: Polyester
Wash: Hand-wash",0,0,ADIVA,"Pink, White",Dress,"Chiếc đầm maxi màu hồng trơn, được dệt kim và dệt thoi, có cổ chữ V, không tay, lớp lót liền và gấu váy xòe. Trang phục này rất phù hợp cho những sự kiện quan trọng như lễ trao giải, v.v.","Vải: Polyester
Giặt: Giặt tay"
42,ADIVA Girls Blue Fit and Flare Dress,749,"Blue solid woven fit and flare, has shoulder straps, sleeveless, an attached lining, and flared hem. This outfit is suitable for important events such as award ceremonies, ...","Fabric: 80% Net, 20% Polyester
Wash: Hand-wash",5,0,ADIVA,gray,Dress,"Chiếc đầm màu xanh trơn dáng ôm và xòe, có dây quai vai, không tay, lớp lót liền và gấu váy xòe. Trang phục này rất phù hợp cho những sự kiện quan trọng như lễ trao giải, v.v.","Vải: 80% Lưới, 20% Polyester
Giặt: Giặt tay"
43,ADIVA Girls Red Self-Design Fit and Flare Dress,749,"Red self-design knitted and woven fit and flare dress, has a V-neck, sleeveless, an attached lining, and flared hem. This outfit is suitable for important events such as award ceremonies, ...","Fabric: Polyester
Wash: Hand-wash",5,0,ADIVA,green,Dress,"Chiếc đầm ôm và xòe màu đỏ với họa tiết tự thiết kế, được dệt kim và dệt thoi, có cổ chữ V, không tay, lớp lót liền và gấu váy xòe. Trang phục này rất phù hợp cho những sự kiện quan trọng như lễ trao giải, v.v.","Vải: Polyester
Giặt: Giặt tay"
44,ADIVA Girls Fit and Flare Dress,749,"Grey solid knitted and woven fit and flare dress, has a V-neck, sleeveless, an attached lining, and flared hem with embellished detail at the waist and the hem. ","Fabric: Polyester
Wash: Hand-wash",5,0,ADIVA,"Yellow, Blue",Dress,"Chiếc đầm ôm và xòe màu xám trơn, được dệt kim và dệt thoi, có cổ chữ V, không tay, lớp lót liền và gấu váy xòe với chi tiết đính kết ở eo và gấu váy.","Vải: Polyester
Giặt: Giặt tay"
45,Girls Yellow Fit and Flare Dress,749,"With its playful short flared sleeves and versatile design, this dress is the ultimate transitional piece for any occasion. Whether it's a birthday bash or a fancy wedding, this dress has got you covered in style! Mix and match with different accessories for endless fun looks.","Fabric: Viscose-100%
Wash: Wash With Similar Colors",0,20,ADIVA,gray,Dress,"Với tay áo ngắn xòe vui nhộn và thiết kế đa năng, chiếc đầm này là mảnh ghép chuyển đổi hoàn hảo cho bất kỳ dịp nào. Dù là bữa tiệc sinh nhật hay đám cưới, chiếc đầm này sẽ giúp bạn nổi bật một cách phong cách! Kết hợp với các phụ kiện khác nhau để tạo nên những phong cách vui tươi, đa dạng.","Vải: Viscose-100%
Giặt: Giặt với màu tương tự"
46,Ahalyaa Women White & Blue Printed Anarkali Kurta,1268,"White, Blue and golden printed Anarkali kurta with an attached jacket, has a round neck, three-quarter sleeves, and flared hem. Whether it's a birthday bash or a wedding, this dress has got you covered in style","Fabric: 100% Cotton
Wash: Wash With Similar Colors",5,0,Ahalyaa,red,Dress,"Chiếc kurta Anarkali in họa tiết màu trắng, xanh và vàng với áo khoác liền, có cổ tròn, tay lửng và gấu váy xòe. Dù là bữa tiệc sinh nhật hay đám cưới, trang phục này sẽ giúp bạn nổi bật với phong cách đầy cuốn hút.","Vải: 100% bông
Giặt: Giặt với màu tương tự"
47,Ahalyaa Women Black & Pink Printed A-Line Kurta,972,"Black, Pink and blue printed A-line kurta, has a round neck, sleeveless, flared hem. Whether it's a birthday bash or a wedding, this dress has got you covered in style","Fabric: Poly crepe
Wash: Wash With Similar Colors",5,0,Ahalyaa,"Black & Pink, Grey & Silver",Dress,"Chiếc kurta A-line in họa tiết màu đen, hồng và xanh, có cổ tròn, không tay và gấu váy xòe. Dù là bữa tiệc sinh nhật hay đám cưới, trang phục này sẽ giúp bạn nổi bật với phong cách đầy cuốn hút.","Vải: Poly crepe
Giặt: Giặt với màu tương tự"
48,Ahalyaa Women Blue & White Checked Straight Kurta,759,"Inject high fashion to your wardrobe with this white and blue sleeveless kurta from Ahalyaa. Whether it's a birthday bash or a wedding, this dress has got you covered in style","Fabric: 60% COTTON 40% POLYESTER SINGLE JERSEY
Sleeves: Short Sleeve
Wash: Hand wash",4,0,Ahalyaa,white,Dress,"Đưa thời trang cao cấp vào tủ quần áo của bạn với chiếc kurta không tay màu trắng và xanh này của Ahalyaa. Dù là tiệc sinh nhật hay đám cưới, chiếc váy này sẽ giúp bạn trở nên thật phong cách","Vải: ÁO ĐƠN 60% COTTON 40% POLYESTER
Tay áo: Tay áo ngắn
Giặt: Giặt tay"
49,612 league Boys Blue Solid Polo Collar T-shirt,382,"Your little champion is sure to look cool and stylish in this royal blue polo shirt from 612 League. Crafted from cotton with a polo neck and long sleeves, this t-shirt is comfortable for sports activities","Fabric: 80% Net, 20% Polyester
Wash: Hand-wash",5,0,612 league,yellow,T-shirt,"Nhà vô địch nhỏ của bạn chắc chắn sẽ trông thật ngầu và phong cách khi mặc chiếc áo phông polo màu xanh hoàng gia này từ 612 League. Được làm từ cotton với cổ polo và tay áo dài, chiếc áo phông này thoải mái cho các hoạt động tập luyện thể thao","Vải: 80% Lưới, 20% Polyester
Giặt: Giặt tay"
50,612 league Boys Blue Solid Track Pants,574,"Your little guy will be the trendsetter in his group when he wears these stylish blue joggers from 612 League Kids. He'll love wearing these smart sweatpants, thanks to their cotton fabric.","Fabric: Poly crepe
Wash: Wash With Similar Colors",5,0,612 league,blue,Pant,"Cậu bé nhỏ của bạn sẽ trở thành người đi đầu xu hướng trong nhóm của mình khi mặc quần chạy bộ màu xanh thời trang này từ 612 League Kids. Cậu bé sẽ thích mặc quần thể thao thông minh này, nhờ vào chất liệu vải cotton của chúng.","Vải: Poly crepe
Giặt: Giặt với màu tương tự"